ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-20 05:00:00,10.804066219285716,-40.556651229721496,49.52431406138168,10.804066219285716,10.804066219285716,-4.77355208424958,-4.77355208424958,-4.77355208424958,-4.77355208424958,-4.77355208424958,-4.77355208424958,0.0,0.0,0.0,6.030514135036135
2023-02-21 05:00:00,10.803161896785713,-38.56158393556048,49.557835876571616,10.803161896785713,10.803161896785713,-5.2080058275195595,-5.2080058275195595,-5.2080058275195595,-5.2080058275195595,-5.2080058275195595,-5.2080058275195595,0.0,0.0,0.0,5.595156069266154
2023-02-22 05:00:00,10.802257574285715,-37.516703831939765,50.3356129031481,10.802257574285715,10.802257574285715,-4.115366704623256,-4.115366704623256,-4.115366704623256,-4.115366704623256,-4.115366704623256,-4.115366704623256,0.0,0.0,0.0,6.686890869662459
2023-02-23 05:00:00,10.801353251785715,-36.74501275930568,48.61243957709967,10.801353251785715,10.801353251785715,-3.003401053267773,-3.003401053267773,-3.003401053267773,-3.003401053267773,-3.003401053267773,-3.003401053267773,0.0,0.0,0.0,7.797952198517942
2023-02-24 05:00:00,10.800448929285714,-33.403269586649174,54.57510209815284,10.800448929285714,10.800448929285714,0.21708114811731954,0.21708114811731954,0.21708114811731954,0.21708114811731954,0.21708114811731954,0.21708114811731954,0.0,0.0,0.0,11.017530077403034
2023-02-25 05:00:00,10.799544606785714,-22.094297289229228,62.64713918828456,10.799544606785714,10.799544606785714,8.456962843500051,8.456962843500051,8.456962843500051,8.456962843500051,8.456962843500051,8.456962843500051,0.0,0.0,0.0,19.256507450285767
2023-02-26 05:00:00,10.798640284285714,-23.313345077914963,62.36920945589982,10.798640284285714,10.798640284285714,8.426281678066898,8.426281678066898,8.426281678066898,8.426281678066898,8.426281678066898,8.426281678066898,0.0,0.0,0.0,19.22492196235261
2023-02-27 05:00:00,10.797735961785715,-40.35722266810665,47.631180136353706,10.797735961785715,10.797735961785715,-4.7735520842565435,-4.7735520842565435,-4.7735520842565435,-4.7735520842565435,-4.7735520842565435,-4.7735520842565435,0.0,0.0,0.0,6.024183877529172
2023-02-28 05:00:00,10.796831639285715,-37.976230383568236,50.48347068924178,10.796831639285715,10.796831639285715,-5.208005827515785,-5.208005827515785,-5.208005827515785,-5.208005827515785,-5.208005827515785,-5.208005827515785,0.0,0.0,0.0,5.58882581176993
2023-03-01 05:00:00,10.795927316785715,-39.14735510876051,50.770525669451224,10.795927316785715,10.795927316785715,-4.115366704620644,-4.115366704620644,-4.115366704620644,-4.115366704620644,-4.115366704620644,-4.115366704620644,0.0,0.0,0.0,6.6805606121650705
2023-03-02 05:00:00,10.795022994285716,-33.206502230407196,52.43158953193209,10.795022994285716,10.795022994285716,-3.0034010532615514,-3.0034010532615514,-3.0034010532615514,-3.0034010532615514,-3.0034010532615514,-3.0034010532615514,0.0,0.0,0.0,7.7916219410241645
2023-03-03 05:00:00,10.674681600357145,-33.06102258183064,60.14920591917832,10.674681600357145,10.674681600357145,0.21708114808288262,0.21708114808288262,0.21708114808288262,0.21708114808288262,0.21708114808288262,0.21708114808288262,0.0,0.0,0.0,10.891762748440028
2023-03-04 05:00:00,10.554340206428572,-25.403993559083258,60.348508310332676,10.554340206428572,10.554340206428572,8.456962843502644,8.456962843502644,8.456962843502644,8.456962843502644,8.456962843502644,8.456962843502644,0.0,0.0,0.0,19.011303049931215
